timestamp,symbol,session,score,direction,ema_weight,macd_weight,rsi_weight,adx_weight,vwma_weight,bb_weight,candle_patterns,chart_pattern
2025-07-13 20:09:27,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:09:28,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:09:29,ADAUSDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:09:29,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:09:30,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:09:31,TRXUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:09:33,ALGOUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:09:33,NEIROUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,RisingWedge
2025-07-13 20:10:36,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:10:37,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:10:38,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:10:39,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:10:39,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:10:40,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:10:40,TRXUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:10:42,ALGOUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:10:43,SEIUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,FallingWedge
2025-07-13 20:11:47,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:11:47,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:11:48,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:11:49,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:11:49,DOGEUSDT,US,4.5,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:11:50,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:11:51,TRXUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:11:53,ALGOUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:11:53,SEIUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",FallingWedge
2025-07-13 20:12:57,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 20:12:58,FDUSDUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:12:59,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:13:00,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:13:00,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:13:01,BANANAS31USDT,US,4.68,,1.0,1.2,1.2,1.2,1.0,1.0,BullishEngulfing,Triangle
2025-07-13 20:13:01,TRXUSDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:13:03,ALGOUSDT,US,4.86,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:13:04,SEIUSDT,US,3.6,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,FallingWedge
2025-07-13 20:14:07,XRPUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,"Hammer, ShootingStar",Triangle
2025-07-13 20:14:08,XLMUSDT,US,5.77,,1.0,1.2,1.2,1.2,1.0,1.0,,Triangle
2025-07-13 20:14:09,HBARUSDT,US,2.88,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
2025-07-13 20:14:10,ADAUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:14:10,DOGEUSDT,US,5.59,,1.0,1.2,1.2,1.2,1.0,1.0,Hammer,Triangle
2025-07-13 20:14:11,BANANAS31USDT,US,3.78,,1.0,1.2,1.2,1.2,1.0,1.0,,FallingWedge
